Year,Country,PSI_AQI
1994,全國,54
1994,台北市,54
1994,基隆市,54
1994,新北市,54
1994,桃園市,54
1994,苗栗縣,54
1994,新竹市,54
1994,新竹縣,54
1994,南投縣,63
1994,台中市,63
1994,彰化縣,63
1994,嘉義縣,65
1994,台南市,65
1994,嘉義市,65
1994,雲林縣,65
1994,高雄市,75
1994,屏東縣,75
1994,宜蘭縣,42
1994,花蓮縣,43
1994,台東縣,43
1995,全國,59
1995,台北市,53
1995,基隆市,53
1995,新北市,53
1995,桃園市,53
1995,苗栗縣,52
1995,新竹市,52
1995,新竹縣,52
1995,南投縣,61
1995,台中市,61
1995,彰化縣,61
1995,嘉義縣,64
1995,台南市,64
1995,嘉義市,64
1995,雲林縣,64
1995,高雄市,74
1995,屏東縣,74
1995,宜蘭縣,43
1995,花蓮縣,39
1995,台東縣,39
1996,全國,58
1996,台北市,51
1996,基隆市,51
1996,新北市,51
1996,桃園市,51
1996,苗栗縣,50
1996,新竹市,50
1996,新竹縣,50
1996,南投縣,61
1996,台中市,61
1996,彰化縣,61
1996,嘉義縣,65
1996,台南市,65
1996,嘉義市,65
1996,雲林縣,65
1996,高雄市,74
1996,屏東縣,74
1996,宜蘭縣,42
1996,花蓮縣,36
1996,台東縣,36
1997,全國,58
1997,台北市,53
1997,基隆市,53
1997,新北市,53
1997,桃園市,53
1997,苗栗縣,49
1997,新竹市,49
1997,新竹縣,49
1997,南投縣,61
1997,台中市,61
1997,彰化縣,61
1997,嘉義縣,63
1997,台南市,63
1997,嘉義市,63
1997,雲林縣,63
1997,高雄市,72
1997,屏東縣,72
1997,宜蘭縣,43
1997,花蓮縣,37
1997,台東縣,37
1998,全國,55
1998,台北市,49
1998,基隆市,49
1998,新北市,49
1998,桃園市,49
1998,苗栗縣,50
1998,新竹市,50
1998,新竹縣,50
1998,南投縣,57
1998,台中市,57
1998,彰化縣,57
1998,嘉義縣,59
1998,台南市,59
1998,嘉義市,59
1998,雲林縣,59
1998,高雄市,68
1998,屏東縣,68
1998,宜蘭縣,39
1998,花蓮縣,37
1998,台東縣,37
1999,全國,56
1999,台北市,49
1999,台中市,57
1999,台南市,62
1999,高雄市,67
1999,基隆市,54
1999,新竹市,52
1999,嘉義市,62
1999,新北市,51
1999,桃園市,48
1999,新竹縣,50
1999,宜蘭縣,41
1999,苗栗縣,54
1999,彰化縣,57
1999,南投縣,67
1999,雲林縣,61
1999,嘉義縣,62
1999,屏東縣,75
1999,花蓮縣,35
1999,台東縣,37
2000,全國,52
2000,基隆市,53
2000,台北市,50
2000,新北市,51
2000,桃園市,49
2000,新竹市,48
2000,新竹縣,52
2000,苗栗縣,51
2000,台中市,56
2000,彰化縣,59
2000,南投縣,69
2000,雲林縣,61
2000,嘉義市,66
2000,嘉義縣,60
2000,台南市,62
2000,高雄市,71
2000,屏東縣,60
